Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
KCND2	"KIAA1044, Kv4.2, RK5"	ENSG00000184408	"Potassium voltage-gated channel subfamily D member 2"	Q9NZV8	7	120273175-120750337	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Autism, Autism spectrum disorder, Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"brain: 36.3"	"Group enriched"	"Detected in some"	11	"Excitatory neurons: 667.4;Inhibitory neurons: 1026.1;Oligodendrocyte precursor cells: 1832.4"	"Cell type enhanced"	"Detected in all"		"midbrain-derived inhibitory: 5323.0;upper rhombic lip: 5357.6"	"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 12.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 2.9"	"Pituitary gland - Lactotropes, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA029068	Enhanced						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 37: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 8: Neurons - Neuronal signaling"	11			"HPA029068: AB_10601436"	"unprognostic (3.12e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.48e-2)"				"unprognostic (3.55e-1)"	"potential prognostic favorable (2.04e-5)"								"unprognostic (1.35e-3)"	"unprognostic (1.39e-1)"	"unprognostic (7.16e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.92e-2)"	"unprognostic (1.41e-2)"	"unprognostic (5.03e-2)"								
KCND3	"KSHIVB, Kv4.3, SCA19, SCA22"	ENSG00000171385	"Potassium voltage-gated channel subfamily D member 3"	Q9UK17	1	111770662-111989668	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Brugada syndrome, Disease variant, FDA approved drug targets, Neurodegeneration, Spinocerebellar ataxia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 30.0"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 34.6;Cardiomyocytes: 36.9;Excitatory neurons: 102.1;Hepatocytes: 32.7;Horizontal cells: 40.9;Inhibitory neurons: 84.6;Late spermatids: 34.4;Oligodendrocyte precursor cells: 42.9"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Prostate Adenocarcinoma (TCGA): 12.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 1.6"	"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA029452	Approved						NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	4			"HPA029452: AB_10602239"	"unprognostic (2.39e-3)"	"unprognostic (9.43e-3)"	"unprognostic (1.18e-1)"	"unprognostic (6.72e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.83e-1)"	"unprognostic (1.51e-1)"	"unprognostic (1.34e-3)"	"unprognostic (2.94e-1)"		"unprognostic (1.68e-1)"	"unprognostic (5.41e-3)"	"unprognostic (2.58e-3)"	"unprognostic (1.82e-1)"		"unprognostic (4.59e-3)"	"unprognostic (9.59e-3)"	"unprognostic (9.40e-3)"	"unprognostic (4.55e-2)"	"unprognostic (9.48e-2)"		"unprognostic (4.74e-2)"	"unprognostic (2.23e-2)"	"unprognostic (5.09e-2)"	"unprognostic (1.23e-2)"	"unprognostic (1.50e-1)"		"unprognostic (3.62e-1)"			
KCNF1	"IK8, KCNF, kH1, Kv5.1"	ENSG00000162975	"Potassium voltage-gated channel modifier subfamily F member 1"	Q9H3M0	2	10911934-10914225	"Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	29	"brain: 46.8;choroid plexus: 24.1"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 9.0;Extravillous trophoblasts: 17.6;Inhibitory neurons: 8.4;Oligodendrocyte precursor cells: 17.0;Syncytiotrophoblasts: 7.5"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in many"	7	"Glioblastoma Multiforme (TCGA): 46.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"breast cancer: 11.5;lung cancer: 9.0"	"Breast - Breast glandular cells (progenitors), Pancreas - Beta cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA014738, HPA062278"	Enhanced		Approved	"Nucleoplasm,Golgi apparatus,Vesicles,Primary cilium transition zone"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 69: Neurons - Neuronal signaling"	9	"Golgi apparatus"	"Nucleoplasm, Vesicles, Primary cilium transition zone"	"HPA014738: AB_1852114, HPA062278: AB_2732679"	"unprognostic (1.30e-1)"	"unprognostic (1.26e-1)"	"unprognostic (2.13e-1)"				"unprognostic (9.72e-2)"	"unprognostic (6.57e-2)"			"potential prognostic favorable (9.92e-4)"	"unprognostic (6.80e-2)"	"unprognostic (1.11e-1)"							"unprognostic (5.33e-2)"	"unprognostic (8.49e-2)"							"unprognostic (3.43e-3)"	"unprognostic (1.29e-1)"		
KCNG1	"K13, KCNG, kH2, Kv6.1"	ENSG00000026559	"Potassium voltage-gated channel modifier subfamily G member 1"	Q9UIX4	20	51003656-51023107	"Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"endometrium 1: 84.4"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 51.0;Early spermatids: 19.2;Late spermatids: 21.2;Syncytiotrophoblasts: 82.4"	"Cell type enhanced"	"Detected in many"		"amygdala excitatory: 48.3"	"Cancer enriched"	"Detected in many"	4	"Bladder Urothelial Carcinoma (TCGA): 48.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	18	"naive B-cell: 7.1"	"Lineage enriched"	"Detected in single"	72	"B-cells: 7.1"	"Low cancer specificity"	"Detected in many"			"Adrenal gland - Adrenal medulla cells, Heart muscle - Fibroblasts, Minor Salivary Gland - Minor salivary gland basal cells, Testis - Sertoli cells"	"Group enriched"	"Detected in many"	5	"amygdala: 20.6;basal ganglia: 19.1;cerebral cortex: 14.9;hippocampal formation: 18.1;white matter: 9.1"	"Group enriched"	"Detected in all"	5	"amygdala: 17.3;basal ganglia: 15.0;cerebral cortex: 29.9;hippocampal formation: 22.6"	"HPA039530, HPA040024"	Approved		Approved	Vesicles			NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 14: Neurons - Synaptic function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 24: Cytotrophoblasts - Mitochondria"		Vesicles		"HPA039530: AB_10795144, HPA040024: AB_10796338"	"unprognostic (1.16e-1)"	"unprognostic (2.40e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.25e-2)"	"unprognostic (1.86e-1)"	"unprognostic (8.71e-2)"	"unprognostic (1.06e-1)"	"unprognostic (8.87e-3)"	"potential prognostic unfavorable (7.47e-4)"	"unprognostic (2.18e-1)"		"unprognostic (8.65e-2)"						"unprognostic (1.05e-1)"	"unprognostic (4.01e-3)"	"unprognostic (2.38e-2)"	"unprognostic (2.48e-1)"	"unprognostic (1.77e-1)"	"potential prognostic unfavorable (1.20e-4)"	"unprognostic (1.78e-1)"	"unprognostic (2.84e-1)"	"unprognostic (6.75e-2)"	"unprognostic (5.59e-2)"	"unprognostic (3.77e-2)"	"unprognostic (1.68e-1)"		"unprognostic (1.59e-1)"
KCNG2	"KCNF2, Kv6.2"	ENSG00000178342	"Potassium voltage-gated channel modifier subfamily G member 2"	Q9UJ96	18	79797938-79900184	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.0"	"Cell type enhanced"	"Detected in some"		"dendritic cells: 28.0;Excitatory neurons: 18.6;Horizontal cells: 27.1;Inhibitory neurons: 29.9;Oocytes: 75.0"	"Cell type enhanced"	"Detected in many"		"hippocampal CA4: 41.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in many"	4	"hippocampal formation: 24.5"	HPA048628	Enhanced						NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 29: Forebrain - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 69: Neurons - Neuronal signaling"				"HPA048628: AB_2680466"			"unprognostic (3.27e-2)"																												
KCNG3	Kv6.3	ENSG00000171126	"Potassium voltage-gated channel modifier subfamily G member 3"	Q8TAE7	2	42442017-42493982	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.0"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 15.8;Glandular and luminal cells: 10.8"	"Cell type enhanced"	"Detected in many"		"hippocampal CA4: 88.1;hippocampal dentate gyrus: 82.0;upper-layer intratelencephalic: 55.3"	"Cancer enhanced"	"Detected in some"		"Prostate Adenocarcinoma (TCGA): 1.6;Testicular Germ Cell Tumor (TCGA): 1.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Rhabdoid: 7.1"	"Lung - Alveolar cells type 2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA041625			Approved	"Cytoplasmic bodies"			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	1	"Cytoplasmic bodies"		"HPA041625: "			"unprognostic (1.29e-1)"					"unprognostic (4.22e-3)"																"unprognostic (2.33e-1)"					"unprognostic (2.36e-1)"		
KCNG4	Kv6.4	ENSG00000168418	"Potassium voltage-gated channel modifier subfamily G member 4"	Q8TDN1	16	84218657-84240012	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	6	"retina: 3.8"	"Cell type enriched"	"Detected in some"	10	"Bipolar cells: 57.8"	"Cell type enriched"	"Detected in some"	13	"oligodendrocyte precursor cell: 14.6"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adrenal gland - Adrenal medulla cells, Minor Salivary Gland - Minor salivary glandular cells"	"Group enriched"	"Detected in all"	4	"cerebellum: 90.5;pons and medulla: 27.0"	"Low region specificity"	"Detected in many"			HPA063516			Supported	"Nucleoplasm,Plasma membrane"			NA	NA				"Cluster 76: Retina - Visual perception"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	2	"Plasma membrane"	Nucleoplasm	"HPA063516: "																															
KCNH1	"eag, eag1, h-eag, hEAG, Kv10.1"	ENSG00000143473	"Potassium voltage-gated channel subfamily H member 1"	O95259	1	210676823-211134165	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	11	"brain: 16.5"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 516.4;Inhibitory neurons: 249.8;Oligodendrocytes: 108.5"	"Cell type enhanced"	"Detected in all"		"hippocampal dentate gyrus: 338.3;upper-layer intratelencephalic: 317.5"	"Cancer enhanced"	"Detected in some"		"Breast Invasive Carcinoma (TCGA): 2.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	4	"Adrenocortical cancer: 20.7"	"Skin - Outer root sheath cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014551, HPA019445, HPA076421"	Enhanced		Approved	Vesicles			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"	6	Vesicles		"HPA014551: AB_2669038, HPA019445: AB_1852118, HPA076421: "		"unprognostic (1.11e-1)"	"unprognostic (2.74e-2)"				"unprognostic (2.15e-1)"	"potential prognostic favorable (1.96e-5)"																			"unprognostic (1.92e-2)"				
KCNH2	"erg1, HERG, Kv11.1, LQT2"	ENSG00000055118	"Potassium voltage-gated channel subfamily H member 2"	Q12809	7	150944961-150978321	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Deafness, Disease variant, FDA approved drug targets, Long QT syndrome, Short QT syndrome"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 40.8;pituitary gland: 42.1"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 209.8;Cardiomyocytes: 80.3;Erythroid cells: 116.1;granulocytes: 43.3;Horizontal cells: 57.3;Sertoli cells: 65.3"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Leukemia: 23.5;Neuroblastoma: 41.8"	"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Lung - Fibroblast_1, Pancreas - Alpha cells, Pancreas - Beta cells, Prostate - Smooth muscle cells, Skin - Smooth muscle cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 1: Erythroid cells - Oxygen transport"	11				"unprognostic (1.37e-1)"	"unprognostic (2.72e-1)"	"unprognostic (1.31e-1)"	"unprognostic (4.54e-3)"	"unprognostic (5.49e-2)"	"unprognostic (2.50e-1)"	"unprognostic (1.32e-2)"	"unprognostic (3.84e-1)"		"unprognostic (9.34e-2)"		"unprognostic (2.44e-1)"	"unprognostic (2.61e-3)"		"unprognostic (3.93e-2)"	"potential prognostic favorable (3.21e-4)"	"unprognostic (1.26e-1)"	"unprognostic (4.68e-2)"		"unprognostic (5.02e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.45e-3)"	"unprognostic (1.28e-1)"	"unprognostic (3.42e-1)"	"unprognostic (1.75e-1)"	"unprognostic (4.08e-2)"		"unprognostic (9.69e-2)"	"unprognostic (6.13e-2)"		"unprognostic (5.49e-2)"
KCNH3	"BEC1, elk2, Kv12.2"	ENSG00000135519	"Potassium voltage-gated channel subfamily H member 3"	Q9ULD8	12	49539030-49558337	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	10	"brain: 86.9;pituitary gland: 25.0"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 12.6;Excitatory neurons: 56.3;Inhibitory neurons: 18.5;Late spermatids: 10.5"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 6.4"	"Group enriched"	"Detected in all"	6	"amygdala: 74.5;basal ganglia: 55.7;cerebral cortex: 82.6;hippocampal formation: 75.7;white matter: 63.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 5.5"	"Lung - Respiratory ciliated cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"										NA	NA			"Cluster 11: T-cells - Unknown function"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"							"unprognostic (2.01e-2)"	"unprognostic (4.08e-2)"			"unprognostic (9.71e-2)"	"unprognostic (1.20e-1)"												"unprognostic (1.25e-1)"	"unprognostic (2.69e-1)"									"unprognostic (9.35e-2)"	"unprognostic (2.08e-1)"
KCNH4	"elk1, Kv12.3"	ENSG00000089558	"Potassium voltage-gated channel subfamily H member 4"	Q9UQ05	17	42156891-42181142	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	5	"brain: 7.2"	"Cell type enriched"	"Detected in some"	4	"Excitatory neurons: 6.5"	"Group enriched"	"Detected in many"	5	"eccentric medium spiny neuron: 65.1;medium spiny neuron: 116.1;upper-layer intratelencephalic: 31.8"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"basal ganglia: 33.1;cerebral cortex: 9.7;thalamus: 8.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 3.5;Neuroblastoma: 6.6"		"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"																																			
KCNH5	"eag2, H-EAG2, hEAG2, Kv10.2"	ENSG00000140015	"Potassium voltage-gated channel subfamily H member 5"	Q8NCM2	14	62699464-63102037	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Calmodulin-binding, Ion channel, Potassium channel, Voltage-gated channel"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 2.3;retina: 4.3"	"Group enriched"	"Detected in some"	11	"Bipolar cells: 47.3;Excitatory neurons: 178.8;Horizontal cells: 51.0;Inhibitory neurons: 71.0;Oligodendrocyte precursor cells: 61.8"	"Cell type enhanced"	"Detected in all"		"thalamic excitatory: 525.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bladder cancer: 1.4;cervical cancer: 1.2"	"Adipose visceral - Mesothelial cells, Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Corticotropes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA030487, HPA072351"	Uncertain		Approved	Nucleoplasm,Centrosome,Cytosol			NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	1	Centrosome	"Nucleoplasm, Cytosol"	"HPA030487: AB_10609995, HPA072351: "								"unprognostic (1.56e-1)"																							
KCNH6	"erg2, HERG2, Kv11.2"	ENSG00000173826	"Potassium voltage-gated channel subfamily H member 6"	Q9H252	17	63523334-63548977	"FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"intestine: 4.7;kidney: 6.8;pituitary gland: 5.2;prostate: 3.8;retina: 4.3"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 42.1;Cone photoreceptor cells: 11.9;Enteroendocrine cells: 27.3;Horizontal cells: 11.3;Prostatic glandular cells: 24.5;Proximal enterocytes: 40.9"	"Cell type enhanced"	"Detected in many"		"mammillary body: 6.3;splatter: 5.7"	"Cancer enhanced"	"Detected in some"		"Prostate Adenocarcinoma (TCGA): 8.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 6.2;lung cancer: 9.7;prostate cancer: 5.3"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Pancreas - Alpha cells, Pituitary gland - Corticotropes, Prostate - Prostate glandular cells, Stomach - Gastric enteroendocrine cells, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	5	"medulla oblongata: 1.4;olfactory bulb: 3.2;spinal cord: 3.2"	HPA061704	Approved						NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 22: Proximal enterocytes - Digestion"				"HPA061704: "	"unprognostic (1.22e-2)"										"unprognostic (3.70e-3)"	"unprognostic (1.25e-1)"	"unprognostic (7.56e-2)"				"unprognostic (1.92e-2)"					"potential prognostic favorable (4.51e-4)"		"unprognostic (3.49e-1)"					"unprognostic (3.10e-1)"		
