Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
COL2A1	"AOM, SEDC, STL1"	ENSG00000139219	"Collagen type II alpha 1 chain"	P02458	12	47972967-48004554	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted secreted proteins"			"Cancer-related genes, Cataract, Deafness, Disease variant, Dwarfism, FDA approved drug targets, Stickler syndrome"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"epididymis: 18.6;pituitary gland: 8.9;retina: 5.4;stomach 1: 12.2"	"Cell type enhanced"	"Detected in some"		"Breast myoepithelial cells: 6.6;Early spermatids: 11.0;Enteroendocrine cells: 27.4;Granulosa cells: 9.7;Horizontal cells: 24.5;Late spermatids: 11.5;Muller glia cells: 21.3"	"Cell type enhanced"	"Detected in some"		"fibroblast: 2.8;hippocampal dentate gyrus: 5.7"	"Group enriched"	"Detected in many"	4	"Breast Invasive Carcinoma (TCGA): 22.3;Prostate Adenocarcinoma (TCGA): 19.7;Skin Cuteneous Melanoma (TCGA): 14.8;Testicular Germ Cell Tumor (TCGA): 22.7;Uterine Corpus Endometrial Carcinoma (TCGA): 8.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	7	"liver cancer: 78.5"	"Pituitary gland - Gonadotropes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB002214, HPA055753"	Approved		Approved	Nucleoplasm	"Secreted to extracellular matrix"	"No annotated function"	No	NA		3200000		"Cluster 50: Epididymis - Male reproductive secretion"		"Cluster 34: Testis cancer - Unknown function"	"Cluster 20: Enteroendocrine cells - Hormone signaling"	3	Nucleoplasm		"CAB002214: AB_563666, HPA055753: AB_2682908"	"unprognostic (6.77e-3)"	"unprognostic (2.16e-1)"	"unprognostic (5.49e-2)"	"unprognostic (7.27e-2)"			"unprognostic (2.63e-2)"	"unprognostic (1.11e-1)"						"unprognostic (5.52e-2)"	"unprognostic (7.13e-2)"	"unprognostic (1.04e-1)"		"unprognostic (6.95e-2)"	"unprognostic (7.34e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.07e-1)"			"unprognostic (1.93e-1)"		"unprognostic (2.54e-2)"	"unprognostic (1.91e-1)"	"unprognostic (5.96e-2)"	"unprognostic (1.81e-1)"		"unprognostic (1.31e-1)"
COL3A1	EDS4A	ENSG00000168542	"Collagen type III alpha 1 chain"	P02461	2	188974373-189012746	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Aortic aneurysm, Disease variant, Ehlers-Danlos syndrome, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"cervix: 2284.1;gallbladder: 2022.4;placenta: 1914.8;smooth muscle: 2059.5"	"Group enriched"	"Detected in many"	4	"Endometrial stromal cells: 2579.5;Fibroblasts: 1454.9;Smooth muscle cells: 696.2"	"Cell type enhanced"	"Detected in some"		"fibroblast: 216.1;vascular associated smooth muscle cell: 78.5"	"Low cancer specificity"	"Detected in all"			"Group enriched"	"Detected in all"	5	"cerebral cortex: 21.6;choroid plexus: 22.8;thalamus: 22.8;white matter: 8.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 1300.8;Sarcoma: 607.6;testis cancer: 879.7"	"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Minor Salivary Gland - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Spleen - Fibroblast_1"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"spinal cord: 74.6"	"HPA007583, CAB016766, CAB059993"	Approved		Approved	"Endoplasmic reticulum"	"Secreted to extracellular matrix"	"No annotated function"	NA	NA		28000000		"Cluster 62: Connective tissue - ECM organization"	"Cluster 12: Non-specific - Vasculature"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 50: Connective tissue cells - ECM organization"	1	"Endoplasmic reticulum"		"CAB016766: , CAB059993: AB_2314211, HPA007583: AB_1078548"	"unprognostic (5.65e-3)"	"unprognostic (2.00e-1)"	"unprognostic (9.08e-2)"	"unprognostic (1.18e-2)"	"unprognostic (9.14e-2)"	"unprognostic (1.92e-1)"	"unprognostic (2.77e-1)"	"unprognostic (3.32e-3)"	"unprognostic (1.37e-1)"	"unprognostic (3.85e-3)"	"unprognostic (2.37e-1)"	"unprognostic (4.75e-3)"	"potential prognostic unfavorable (1.93e-8)"	"unprognostic (5.86e-2)"	"unprognostic (2.07e-1)"	"unprognostic (5.82e-2)"	"unprognostic (8.53e-3)"	"unprognostic (4.80e-2)"	"unprognostic (2.62e-1)"	"unprognostic (3.43e-3)"	"potential prognostic unfavorable (8.45e-4)"	"unprognostic (3.54e-2)"	"unprognostic (4.40e-1)"	"unprognostic (2.24e-1)"	"unprognostic (8.48e-2)"	"unprognostic (4.48e-3)"	"unprognostic (3.44e-3)"	"unprognostic (1.33e-3)"	"unprognostic (4.31e-2)"	"unprognostic (7.46e-2)"	"unprognostic (4.51e-2)"
CPB2	"CPU, PCPB, TAFI"	ENSG00000080618	"Carboxypeptidase B2"	Q96IY4	13	46053186-46105033	"Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins"	"Blood coagulation, Fibrinolysis, Hemostasis"	"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	84	"liver: 1439.0"	"Cell type enriched"	"Detected in some"	5	"Hepatocytes: 1226.7"	"Cell type enhanced"	"Detected in many"		"oligodendrocyte: 87.4"	"Cancer enriched"	"Detected in some"	57	"Liver Hepatocellular Carcinoma (TCGA): 350.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"liver cancer: 11.2"	"Liver - Hepatocytes, Lung - Alveolar cells type 2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA004146	Approved				"Secreted to blood"	"Blood coagulation"	NA	NA		6100000000		"Cluster 31: Liver - Plasma proteins"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"				"HPA004146: AB_1078397"						"unprognostic (1.22e-1)"								"potential prognostic favorable (2.55e-4)"	"unprognostic (2.42e-3)"	"unprognostic (1.94e-2)"	"unprognostic (7.95e-2)"		"unprognostic (3.87e-1)"				"unprognostic (5.07e-3)"			"unprognostic (6.85e-2)"					
CSF2RA	"alphaGMR, CD116, CSF2R"	ENSG00000198223	"Colony stimulating factor 2 receptor subunit alpha"	P15509	X	1268800-1310381	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"		Receptor	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"placenta: 61.6"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 243.7;Extravillous trophoblasts: 130.8;Langerhans cells: 703.6;Macrophages: 108.0;Schwann cells: 140.4;Syncytiotrophoblasts: 345.1"	"Cell type enriched"	"Detected in single"	8	"central nervous system macrophage: 4.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 319.8"	"Group enriched"	"Detected in all"	29	"dendritic cells: 170.1;granulocytes: 319.8;monocytes: 160.9"	"Cancer enriched"	"Detected in many"	7	"Adrenocortical cancer: 111.7"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adrenal gland - Macrophages, Minor Salivary Gland - Macrophages, Pancreas - Macrophages, Skeletal muscle - Macrophages, Spleen - Neutrophils, Thyroid gland - T-cells"	"Low region specificity"	"Detected in single"							CAB016148	Uncertain				"Secreted to blood"	Receptor	NA	NA		6300000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 58: Placenta - Pregnancy"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 28: Dendritic cells - Antigen presentation"	2			"CAB016148: AB_626868"	"unprognostic (2.91e-1)"	"unprognostic (2.09e-1)"	"unprognostic (1.85e-2)"	"potential prognostic favorable (1.75e-4)"	"unprognostic (4.20e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.82e-1)"		"potential prognostic favorable (8.00e-4)"	"unprognostic (8.58e-2)"	"unprognostic (4.83e-3)"	"unprognostic (3.35e-1)"	"unprognostic (1.84e-1)"	"unprognostic (3.77e-2)"		"unprognostic (7.06e-2)"	"unprognostic (9.07e-3)"	"unprognostic (3.80e-2)"	"unprognostic (5.23e-2)"	"unprognostic (7.11e-3)"	"unprognostic (2.25e-1)"	"unprognostic (1.76e-1)"	"unprognostic (3.31e-3)"	"unprognostic (6.19e-2)"	"unprognostic (1.07e-3)"	"potential prognostic favorable (3.57e-4)"	"unprognostic (9.22e-2)"	"unprognostic (5.63e-3)"	"unprognostic (1.03e-3)"	"unprognostic (9.14e-2)"	"unprognostic (3.42e-1)"
DPP4	"ADCP2, CD26, DPPIV"	ENSG00000197635	"Dipeptidyl peptidase 4"	P27487	2	161992245-162074394	"CD markers, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Cell adhesion, Host-virus interaction"	"Aminopeptidase, Hydrolase, Protease, Receptor, Serine protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 134.2;parathyroid gland: 151.0;placenta: 129.7;prostate: 103.7"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 135.0;Prostatic glandular cells: 195.7;Proximal enterocytes: 277.2;Serous glandular cells: 142.3;Syncytiotrophoblasts: 167.3"	"Cell type enhanced"	"Detected in many"		"deep-layer corticothalamic and 6b: 38.5;leukocyte: 104.6"	"Cancer enhanced"	"Detected in all"		"Prostate Adenocarcinoma (TCGA): 108.1"	"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in many"		"MAIT T-cell: 52.4"	"Lineage enriched"	"Detected in many"	10	"T-cells: 52.4"	"Cancer enhanced"	"Detected in many"		"Kidney cancer: 54.4"	"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Prostate glandular cells, Skin - Fibroblast_2, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"CAB045970, HPA068778, HPA071236"	Enhanced				"Secreted to blood"	Receptor	NA	NA	643000000	160000000	"Cluster 1: T-cells - Unknown function"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 22: Proximal enterocytes - Digestion"	142			"CAB045970: AB_11140529, HPA068778: , HPA071236: "	"unprognostic (1.45e-1)"	"unprognostic (1.91e-1)"	"unprognostic (1.51e-1)"	"unprognostic (1.34e-1)"	"unprognostic (1.94e-1)"	"unprognostic (1.04e-2)"	"unprognostic (2.26e-1)"	"unprognostic (8.68e-3)"	"unprognostic (1.05e-1)"	"unprognostic (2.95e-1)"	"validated prognostic favorable (2.36e-9)"	"validated prognostic favorable (2.32e-5)"	"unprognostic (2.15e-3)"	"unprognostic (1.78e-1)"	"unprognostic (3.32e-2)"	"unprognostic (8.15e-3)"	"unprognostic (1.45e-2)"	"unprognostic (2.33e-2)"	"unprognostic (1.31e-1)"	"unprognostic (1.94e-1)"	"unprognostic (3.22e-1)"	"unprognostic (2.64e-1)"	"unprognostic (1.80e-3)"	"potential prognostic unfavorable (9.06e-4)"	"unprognostic (2.10e-1)"	"unprognostic (1.01e-1)"	"unprognostic (9.98e-2)"	"unprognostic (3.70e-2)"	"unprognostic (2.22e-2)"	"unprognostic (1.07e-3)"	"unprognostic (1.58e-1)"
EGFR	"ERBB, ERBB1, ERRP"	ENSG00000146648	"Epidermal growth factor receptor"	P00533	7	55019017-55211628	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins, Transporters"	"Host-virus interaction"	"Developmental protein, Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"placenta: 63.5"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 278.2;Salivary duct cells: 235.0;Syncytiotrophoblasts: 428.1"	"Cell type enhanced"	"Detected in many"		"astrocyte: 363.8;bergmann glia: 419.5"	"Cancer enriched"	"Detected in all"	4	"Glioblastoma Multiforme (TCGA): 324.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Fibroblasts, Prostate - Prostate basal glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB000035, HPA001200, HPA018530, CAB068186, CAB073534, CAB080313, CAB080314, CAB080473, CAB080474, CAB080475, CAB080506, CAB080507, CAB080508, CAB080509, CAB080510, CAB080511, CAB080513"	Enhanced		Supported	"Nucleoli,Golgi apparatus,Plasma membrane,Cell Junctions,Primary cilium,Basal body,Cytosol,Mid piece,Principal piece,End piece"	"Secreted to blood"	Receptor	NA	NA	4740000	60000000		"Cluster 58: Placenta - Pregnancy"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 53: Fibroblasts - ECM organization"	904	"Golgi apparatus, Plasma membrane"	"Nucleoli, Cell Junctions, Primary cilium, Basal body, Cytosol, Mid piece, Principal piece, End piece"	"CAB000035: , CAB068186: AB_2665679, CAB073534: , CAB080313: , CAB080314: , CAB080473: , CAB080474: , CAB080475: , CAB080506: , CAB080507: , CAB080508: , CAB080509: , CAB080510: , CAB080511: , CAB080513: , HPA001200: AB_1078723, HPA018530: AB_1848044"	"unprognostic (7.14e-2)"	"unprognostic (2.28e-2)"	"unprognostic (9.66e-2)"	"unprognostic (2.14e-3)"	"unprognostic (9.48e-2)"	"unprognostic (9.42e-2)"	"unprognostic (1.44e-1)"	"unprognostic (2.07e-2)"	"unprognostic (3.73e-2)"	"unprognostic (2.68e-3)"	"potential prognostic favorable (8.23e-5)"	"unprognostic (1.24e-2)"	"unprognostic (1.11e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.01e-2)"	"unprognostic (4.78e-2)"	"unprognostic (1.38e-1)"	"unprognostic (6.90e-2)"	"unprognostic (2.25e-1)"	"unprognostic (3.35e-3)"	"unprognostic (2.91e-1)"	"unprognostic (5.73e-3)"	"potential prognostic unfavorable (4.42e-5)"	"unprognostic (1.11e-1)"	"unprognostic (3.51e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.92e-2)"	"unprognostic (4.08e-2)"	"unprognostic (1.52e-1)"	"unprognostic (4.14e-2)"	"unprognostic (9.81e-2)"
ELANE	"ELA2, HLE, HNE, NE, PMN-E"	ENSG00000197561	"Elastase, neutrophil expressed"	P08246	19	851014-856247	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	92	"bone marrow: 3840.6"	"Cell type enhanced"	"Detected in some"		"Fibroblasts: 12.5;Kupffer cells: 9.1;Langerhans cells: 5.5;Leydig cells: 6.8;Oocytes: 19.1"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	9	"Pancreatic Adenocarcinoma (TCGA): 5.4;Stomach Adenocarcinoma (TCGA): 7.9"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	9	"classical monocyte: 4.0;neutrophil: 12.2"	"Group enriched"	"Detected in many"	9	"granulocytes: 12.2;monocytes: 4.0"	"Cancer enriched"	"Detected in some"	227	"Leukemia: 236.6"	"Lung - Neutrophil_1, Pituitary gland - Neutrophils, Skin - Fibroblast_2, Spleen - Hematopoietic stem cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB015409, HPA066836, HPA073774"	Enhanced		Supported	"Golgi apparatus,Vesicles"	"Secreted to blood"	Enzyme	NA	NA	157000000	460000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 6: Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	3	Vesicles	"Golgi apparatus"	"CAB015409: AB_831596, HPA066836: AB_2685733, HPA073774: "			"unprognostic (1.95e-1)"																			"unprognostic (2.50e-1)"						"unprognostic (1.86e-2)"			
F10		ENSG00000126218	"Coagulation factor X"	P00742	13	113122799-113149529	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Blood coagulation, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 156.1"	"Cell type enhanced"	"Detected in many"		"Fibroblasts: 109.1;Hepatocytes: 170.7;Leydig cells: 217.7;Peritubular cells: 232.6;Smooth muscle cells: 57.6"	"Cell type enhanced"	"Detected in many"		"fibroblast: 49.8;pericyte: 28.0"	"Cancer enriched"	"Detected in many"	9	"Liver Hepatocellular Carcinoma (TCGA): 183.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Adrenocortical cancer: 6.9;liver cancer: 16.8"	"Breast - Fibroblasts, Colon - Fibroblasts, Liver - Hepatocytes, Minor Salivary Gland - Fibroblasts, Pancreas - Alpha cells, Pituitary gland - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Skin - Fibroblast_2, Spleen - Fibroblast_2, Thyroid gland - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"								"Secreted to blood"	"Blood coagulation"	NA	NA		7900000000		"Cluster 83: Liver - Metabolism"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 53: Fibroblasts - ECM organization"	11				"unprognostic (1.38e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.65e-2)"	"unprognostic (1.71e-3)"	"unprognostic (1.31e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.54e-1)"			"unprognostic (4.04e-1)"	"unprognostic (3.01e-2)"	"unprognostic (1.77e-1)"	"unprognostic (3.78e-3)"	"unprognostic (6.28e-2)"	"unprognostic (5.64e-3)"	"unprognostic (2.49e-3)"	"unprognostic (5.69e-2)"	"potential prognostic unfavorable (4.00e-4)"	"unprognostic (1.88e-1)"	"unprognostic (1.15e-1)"	"unprognostic (3.99e-2)"	"potential prognostic favorable (4.34e-5)"	"unprognostic (4.45e-2)"	"unprognostic (1.95e-2)"	"unprognostic (1.78e-2)"	"unprognostic (5.29e-2)"	"unprognostic (6.38e-2)"	"unprognostic (3.50e-2)"	"unprognostic (3.61e-2)"	"unprognostic (2.18e-2)"	"unprognostic (3.01e-2)"
F11	FXI	ENSG00000088926	"Coagulation factor XI"	P03951	4	186266189-186289681	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Blood coagulation, Hemostasis"	"Heparin-binding, Hydrolase, Protease, Serine protease"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"liver: 235.6"	"Cell type enriched"	"Detected in some"	7	"Hepatocytes: 69.2"	"Cell type enriched"	"Detected in some"	9	"midbrain-derived inhibitory: 33.8"	"Cancer enriched"	"Detected in some"	12	"Liver Hepatocellular Carcinoma (TCGA): 46.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.8"	"Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Lung - Alveolar cells type 2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA039808			Approved	Vesicles	"Secreted to blood"	"Blood coagulation"	NA	NA		2800000000		"Cluster 83: Liver - Metabolism"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"		Vesicles		"HPA039808: AB_2676693"										"unprognostic (1.91e-2)"	"potential prognostic favorable (4.99e-4)"	"unprognostic (2.90e-3)"		"validated prognostic favorable (1.19e-4)"	"validated prognostic favorable (5.80e-6)"	"unprognostic (3.74e-2)"	"unprognostic (6.64e-2)"					"unprognostic (6.81e-2)"	"unprognostic (4.06e-2)"								
F12		ENSG00000131187	"Coagulation factor XII"	P00748	5	177402133-177416583	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Blood coagulation, Fibrinolysis, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	311	"liver: 589.9"	"Cell type enriched"	"Detected in many"	5	"Hepatocytes: 375.4"	"Cell type enhanced"	"Detected in many"		"hippocampal CA4: 19.9"	"Cancer enriched"	"Detected in many"	96	"Liver Hepatocellular Carcinoma (TCGA): 275.5"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in single"		"eosinophil: 1.7"	"Lineage enhanced"	"Detected in single"		"granulocytes: 1.7"	"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Stomach - Mitotic cells (Stomach)"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA003825	Approved				"Secreted to blood"	"Blood coagulation"	NA	NA	1040000	7400000000	"Cluster 19: Eosinophils - Unknown function"	"Cluster 31: Liver - Plasma proteins"		"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 62: Hepatocytes - Metabolism"	43			"HPA003825: AB_1078790"		"unprognostic (5.73e-2)"	"unprognostic (4.24e-1)"	"unprognostic (1.13e-3)"	"unprognostic (8.13e-2)"	"unprognostic (8.98e-3)"	"unprognostic (8.33e-2)"	"unprognostic (1.72e-1)"	"unprognostic (2.39e-1)"		"unprognostic (1.81e-2)"	"unprognostic (8.65e-2)"	"unprognostic (2.12e-1)"	"validated prognostic favorable (8.62e-5)"	"validated prognostic favorable (1.55e-4)"			"unprognostic (3.36e-2)"			"unprognostic (2.85e-1)"	"unprognostic (2.65e-1)"	"unprognostic (4.61e-1)"		"unprognostic (3.83e-1)"	"unprognostic (1.37e-1)"		"unprognostic (7.12e-2)"			
