Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
FZD10	CD350	ENSG00000111432	"Frizzled class receptor 10"	Q9ULW2	12	130162459-130165740	"CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 16.3;skin 1: 9.1"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 8.1;Basal squamous epithelial cells: 15.1;Lymphatic endothelial cells: 6.4;Smooth muscle cells: 7.5;Squamous epithelial cells: 27.6;Suprabasal keratinocytes: 13.2"	"Group enriched"	"Detected in some"	4	"fibroblast: 10.2;pericyte: 23.2;vascular associated smooth muscle cell: 11.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 3.3;Esophageal cancer: 3.1"	"Adipose subcutaneous - Smooth muscle cells, Testis - Spermatogonia"	"Region enhanced"	"Detected in many"		"thalamus: 7.0"	"Low region specificity"	"Detected in many"			"HPA014484, HPA014485"	Uncertain		Approved	Nucleoplasm			NA	NA				"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 12: Squamous epithelial cells - Keratinization"	6	Nucleoplasm		"HPA014484: AB_1849132, HPA014485: AB_1849134"	"unprognostic (2.61e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.25e-3)"	"unprognostic (1.42e-1)"	"unprognostic (3.34e-2)"	"unprognostic (5.60e-2)"			"unprognostic (4.85e-2)"							"unprognostic (1.50e-1)"	"unprognostic (9.55e-3)"	"unprognostic (6.71e-2)"	"unprognostic (1.39e-2)"	"unprognostic (3.74e-2)"	"unprognostic (7.92e-2)"			"unprognostic (8.70e-3)"	"unprognostic (1.21e-1)"	"unprognostic (3.96e-2)"		"unprognostic (1.89e-1)"	"unprognostic (3.94e-1)"		"unprognostic (1.46e-2)"
FZD2		ENSG00000180340	"Frizzled class receptor 2"	Q14332	17	44557484-44561262	"Cancer-related genes, Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 9.2"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 20.0;Leydig cells: 40.8;Peritubular cells: 35.4"	"Cell type enhanced"	"Detected in some"		"central nervous system macrophage: 16.0;choroid plexus epithelial cell: 14.4;fibroblast: 24.3"	"Low cancer specificity"	"Detected in many"			"Region enriched"	"Detected in all"	6	"choroid plexus: 21.1"	"Immune cell enhanced"	"Detected in some"		"classical monocyte: 1.1;myeloid DC: 1.8"	"Group enriched"	"Detected in many"	7	"dendritic cells: 1.8;monocytes: 1.1"	"Low cancer specificity"	"Detected in all"			"Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA057667	Uncertain		Approved	"Nucleoplasm,Nuclear bodies,Cell Junctions,Actin filaments,Basal body"			NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 50: Connective tissue cells - ECM organization"		"Nucleoplasm, Nuclear bodies, Cell Junctions"	"Actin filaments, Basal body"	"HPA057667: AB_2683497"	"unprognostic (4.96e-2)"	"unprognostic (3.28e-2)"	"unprognostic (4.14e-1)"	"unprognostic (3.76e-2)"	"unprognostic (3.51e-2)"	"unprognostic (3.07e-1)"	"unprognostic (6.49e-2)"	"unprognostic (1.20e-3)"	"unprognostic (8.27e-3)"	"unprognostic (3.20e-1)"	"validated prognostic unfavorable (6.80e-5)"	"validated prognostic unfavorable (9.98e-4)"	"unprognostic (1.09e-1)"			"unprognostic (1.36e-1)"	"unprognostic (9.37e-2)"	"unprognostic (1.82e-1)"	"unprognostic (7.84e-3)"	"unprognostic (9.78e-2)"	"unprognostic (3.92e-1)"	"unprognostic (6.39e-3)"	"unprognostic (7.95e-2)"	"unprognostic (1.56e-1)"	"unprognostic (3.68e-1)"	"unprognostic (4.58e-2)"	"unprognostic (1.00e-1)"	"unprognostic (5.16e-3)"	"unprognostic (5.35e-2)"	"unprognostic (7.95e-3)"	"unprognostic (2.66e-2)"
FZD3		ENSG00000104290	"Frizzled class receptor 3"	Q9NPG1	8	28494205-28574267	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	"Neurogenesis, Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 14.2"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 150.7;Rod photoreceptor cells: 91.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"plasmacytoid DC: 9.3"	"Group enriched"	"Detected in many"	5	"dendritic cells: 9.3;T-cells: 2.3"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Smooth muscle cells, Minor Salivary Gland - Minor salivary glandular cells, Skin - Outer root sheath cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB024995, HPA042320"	Approved		Approved	"Nucleoplasm,Nuclear membrane,Vesicles"			NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 39: Retina & Testis - Cilium"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 40: Non-specific - Unknown function"	"Cluster 6: Ovarian stromal cells - Transcription"		Nucleoplasm	"Nuclear membrane, Vesicles"	"CAB024995: , HPA042320: AB_2677948"	"unprognostic (2.29e-1)"	"unprognostic (2.42e-2)"	"unprognostic (4.26e-2)"	"unprognostic (5.33e-2)"	"potential prognostic favorable (7.68e-5)"	"unprognostic (3.16e-2)"	"unprognostic (2.87e-1)"	"unprognostic (4.39e-1)"	"potential prognostic unfavorable (5.39e-4)"	"unprognostic (2.99e-2)"	"unprognostic (1.16e-2)"	"unprognostic (2.26e-2)"	"unprognostic (3.68e-2)"			"unprognostic (3.80e-2)"	"unprognostic (2.13e-1)"	"unprognostic (2.67e-1)"	"unprognostic (6.15e-2)"	"unprognostic (1.02e-2)"	"unprognostic (1.17e-1)"	"unprognostic (6.18e-2)"	"unprognostic (9.96e-2)"	"unprognostic (1.96e-2)"	"unprognostic (3.56e-3)"	"potential prognostic favorable (5.23e-4)"	"unprognostic (1.09e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.44e-1)"	"unprognostic (3.95e-2)"	"unprognostic (1.22e-1)"
FZD4	"CD344, EVR1"	ENSG00000174804	"Frizzled class receptor 4"	Q9ULV1	11	86945679-86955395	"CD markers, Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 115.9"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 82.2;Basal prostatic cells: 29.7;Collecting duct cells: 27.2;Endothelial cells: 61.4;Fibroblasts: 32.6;Skeletal myocytes: 28.3;Smooth muscle cells: 27.3"	"Cell type enriched"	"Detected in many"	4	"endothelial cell: 83.6"	"Cancer enhanced"	"Detected in all"		"Kidney Renal Clear Cell Carcinoma (TCGA): 42.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Prostate - Endothelial cells, Spleen - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042328, HPA074833"	Approved		Supported	"Nucleoplasm,Plasma membrane,Primary cilium"			NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	7	"Plasma membrane"	"Nucleoplasm, Primary cilium"	"HPA042328: AB_10962494, HPA074833: AB_2686716"	"unprognostic (5.42e-2)"	"unprognostic (1.25e-1)"	"unprognostic (6.24e-3)"	"unprognostic (7.78e-3)"	"unprognostic (2.34e-1)"	"unprognostic (1.51e-2)"	"unprognostic (1.76e-1)"	"unprognostic (9.70e-3)"	"unprognostic (1.11e-1)"	"unprognostic (9.00e-2)"	"validated prognostic favorable (1.58e-8)"	"validated prognostic favorable (2.01e-4)"	"potential prognostic favorable (5.49e-4)"	"unprognostic (2.17e-1)"	"unprognostic (1.96e-2)"	"unprognostic (7.14e-3)"	"unprognostic (2.49e-1)"	"unprognostic (1.33e-2)"	"unprognostic (2.56e-1)"	"unprognostic (6.91e-2)"	"unprognostic (2.83e-2)"	"unprognostic (4.35e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.94e-1)"	"unprognostic (4.97e-2)"	"unprognostic (9.58e-2)"	"unprognostic (3.70e-2)"	"unprognostic (3.98e-3)"	"unprognostic (1.98e-1)"	"unprognostic (1.94e-1)"	"unprognostic (3.56e-1)"
FZD5	"C2orf31, DKFZP434E2135, HFZ5"	ENSG00000163251	"Frizzled class receptor 5"	Q13467	2	207762598-207769906	"G-protein coupled receptors, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	Microphthalmia	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 22.9"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 73.8;Alveolar cells type 2: 61.9;Distal enterocytes: 99.0;Hepatocytes: 48.6"	"Cell type enhanced"	"Detected in many"		"choroid plexus epithelial cell: 9.2;oligodendrocyte: 10.3"	"Cancer enhanced"	"Detected in all"		"Testicular Germ Cell Tumor (TCGA): 39.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Lung - Alveolar cells type 2, Spleen - Fibroblast_1"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA052361	Approved						NA	NA				"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 11: White matter - Signal transduction"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 16: Intestinal goblet cells - Mucin production"	3			"HPA052361: AB_2681799"	"unprognostic (1.08e-1)"	"unprognostic (1.32e-1)"	"unprognostic (2.43e-1)"	"unprognostic (6.59e-2)"	"unprognostic (3.06e-2)"	"unprognostic (1.04e-2)"	"unprognostic (2.33e-1)"	"unprognostic (4.48e-2)"	"unprognostic (1.58e-1)"	"unprognostic (3.25e-2)"	"potential prognostic favorable (1.07e-6)"	"unprognostic (9.44e-3)"	"unprognostic (4.54e-3)"	"unprognostic (3.16e-3)"	"unprognostic (4.76e-3)"	"unprognostic (5.98e-2)"	"unprognostic (1.56e-1)"	"unprognostic (8.20e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.53e-3)"	"unprognostic (1.67e-1)"	"unprognostic (5.21e-2)"	"unprognostic (6.49e-2)"	"unprognostic (1.46e-1)"	"unprognostic (6.16e-2)"	"unprognostic (2.81e-1)"	"unprognostic (2.01e-2)"	"unprognostic (1.68e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.17e-1)"	"unprognostic (3.69e-2)"
FZD6	Hfz6	ENSG00000164930	"Frizzled class receptor 6"	O60353	8	103298433-103332866	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 95.4;Glandular and luminal cells: 69.3"	"Cell type enhanced"	"Detected in all"		"endothelial cell: 156.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"NK-cell: 4.0"	"Lineage enriched"	"Detected in single"	4	"NK-cells: 4.0"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Endothelial cells, Adrenal gland - Adrenal cortex cells, Heart muscle - Endothelial cells, Liver - Vascular Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA017991	Approved		Supported	"Plasma membrane,Primary cilium,Basal body"			NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 44: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 37: Glandular & Luminal cells - Unknown function"	14	"Plasma membrane"	"Primary cilium, Basal body"	"HPA017991: AB_1849138"	"unprognostic (1.98e-2)"	"unprognostic (1.87e-2)"	"unprognostic (8.83e-2)"	"unprognostic (1.63e-1)"	"unprognostic (9.73e-2)"	"unprognostic (7.50e-2)"	"unprognostic (1.51e-2)"	"unprognostic (4.25e-3)"	"unprognostic (1.63e-2)"	"unprognostic (1.77e-2)"	"unprognostic (4.62e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.18e-1)"	"unprognostic (7.09e-3)"	"unprognostic (4.79e-3)"	"unprognostic (2.77e-1)"	"unprognostic (1.32e-1)"	"unprognostic (8.83e-2)"	"unprognostic (2.47e-1)"	"unprognostic (5.72e-2)"	"unprognostic (6.81e-3)"	"validated prognostic unfavorable (6.43e-5)"	"validated prognostic unfavorable (3.59e-6)"	"unprognostic (8.02e-3)"	"unprognostic (8.21e-2)"	"unprognostic (8.80e-2)"	"unprognostic (1.58e-1)"	"unprognostic (1.28e-1)"	"unprognostic (3.67e-1)"	"unprognostic (4.62e-2)"	"unprognostic (2.64e-1)"
FZD7	FzE3	ENSG00000155760	"Frizzled class receptor 7"	O75084	2	202033855-202038441	"G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Breast glandular cells: 28.0;Breast myoepithelial cells: 29.1;Cardiomyocytes: 23.4;Mucus glandular cells: 28.1"	"Cell type enhanced"	"Detected in many"		"upper rhombic lip: 35.8;vascular associated smooth muscle cell: 24.1"	"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"cerebellum: 60.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Fibroblasts, Liver - Hepatic stellate cells, Skin - Outer root sheath cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA059979, HPA069165, HPA076183"	Approved		Enhanced	Vesicles			NA	NA				"Cluster 66: Non-specific - Transcription"	"Cluster 35: Non-specific - DNA binding"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 53: Fibroblasts - ECM organization"	33	Vesicles		"HPA059979: , HPA069165: AB_2686096, HPA076183: "	"unprognostic (2.20e-3)"	"unprognostic (8.09e-2)"	"unprognostic (8.74e-2)"	"unprognostic (1.80e-1)"	"unprognostic (3.07e-2)"	"unprognostic (2.21e-1)"	"unprognostic (7.42e-2)"	"unprognostic (3.97e-3)"	"unprognostic (1.17e-1)"	"unprognostic (8.77e-2)"	"unprognostic (1.00e-2)"	"unprognostic (5.20e-2)"	"potential prognostic unfavorable (9.38e-8)"	"potential prognostic unfavorable (6.01e-5)"	"unprognostic (8.12e-2)"	"unprognostic (1.42e-1)"	"unprognostic (2.28e-1)"	"unprognostic (1.33e-1)"	"unprognostic (1.16e-2)"	"unprognostic (4.30e-2)"	"unprognostic (1.24e-2)"	"unprognostic (1.73e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.68e-1)"	"unprognostic (4.20e-1)"	"unprognostic (8.20e-2)"	"unprognostic (2.37e-2)"	"unprognostic (1.80e-3)"	"unprognostic (2.11e-1)"	"unprognostic (2.25e-2)"	"unprognostic (1.28e-1)"
FZD8		ENSG00000177283	"Frizzled class receptor 8"	Q9H461	10	35638247-35642296	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 19.1"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 41.9;Muller glia cells: 24.4"	"Cell type enhanced"	"Detected in many"		"choroid plexus epithelial cell: 23.1"	"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in all"	6	"choroid plexus: 85.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adrenal gland - Fibroblasts, Spleen - Fibroblast_1"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA045025, HPA071142"	Approved		Approved	"Endoplasmic reticulum,Primary cilium"			NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 72: Alveolar cells - Lung function"	2	"Endoplasmic reticulum"	"Primary cilium"	"HPA045025: AB_10795888, HPA071142: AB_2686349"	"unprognostic (1.38e-1)"	"unprognostic (7.58e-2)"	"unprognostic (1.80e-2)"	"unprognostic (1.21e-1)"	"unprognostic (2.53e-2)"	"unprognostic (1.14e-1)"	"unprognostic (1.75e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.77e-1)"	"unprognostic (8.59e-2)"	"unprognostic (2.15e-2)"	"potential prognostic favorable (4.17e-5)"	"unprognostic (2.27e-2)"	"unprognostic (1.61e-1)"	"unprognostic (6.95e-3)"	"unprognostic (2.20e-1)"	"unprognostic (2.17e-1)"	"unprognostic (8.26e-3)"	"unprognostic (1.87e-2)"	"unprognostic (2.41e-1)"	"unprognostic (3.28e-1)"	"unprognostic (1.07e-3)"	"potential prognostic favorable (8.99e-4)"	"unprognostic (2.61e-1)"	"unprognostic (8.46e-3)"	"unprognostic (1.97e-1)"	"unprognostic (2.09e-1)"	"unprognostic (2.51e-2)"	"unprognostic (4.28e-2)"	"potential prognostic unfavorable (4.44e-4)"	"unprognostic (7.89e-2)"
FZD9	"CD349, FZD3"	ENSG00000188763	"Frizzled class receptor 9"	O00144	7	73433778-73436120	"CD markers, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"	"Wnt signaling pathway"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 5.2;skeletal muscle: 6.8;testis: 4.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 4.2;Late spermatids: 13.7;Muller glia cells: 5.4;Oligodendrocyte precursor cells: 14.1"	"Group enriched"	"Detected in many"	5	"fibroblast: 13.2;oligodendrocyte precursor cell: 19.5;pericyte: 10.2"	"Cancer enriched"	"Detected in many"	5	"Skin Cuteneous Melanoma (TCGA): 9.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 11: Late spermatids - Unknown function"						"unprognostic (1.18e-1)"	"unprognostic (2.13e-2)"	"unprognostic (1.66e-1)"												"unprognostic (1.38e-1)"		"unprognostic (1.71e-1)"						"unprognostic (2.58e-1)"			"unprognostic (2.29e-1)"		"unprognostic (8.22e-2)"		"unprognostic (1.43e-2)"
GABBR1	"GPRC3A, hGB1a"	ENSG00000204681	"Gamma-aminobutyric acid type B receptor subunit 1"	Q9UBS5	6	29555629-29633976	"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"brain: 228.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 142.7;Excitatory neurons: 56.7;Horizontal cells: 56.0;Inhibitory neurons: 65.2;Oligodendrocyte precursor cells: 67.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA050483	Uncertain		Uncertain	"Basal body,Cytosol"	"Intracellular and membrane"	Receptor	NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 47: Astrocytes - Unknown function"	13	"Basal body, Cytosol"		"HPA050483: AB_2681140"	"unprognostic (1.47e-1)"	"unprognostic (1.21e-1)"	"unprognostic (3.41e-1)"	"unprognostic (3.21e-1)"	"unprognostic (1.85e-2)"	"unprognostic (2.21e-1)"	"unprognostic (1.33e-1)"	"potential prognostic favorable (5.87e-5)"	"unprognostic (3.27e-2)"		"potential prognostic unfavorable (7.31e-7)"	"unprognostic (2.47e-2)"	"unprognostic (2.53e-1)"		"potential prognostic favorable (5.06e-5)"	"unprognostic (1.22e-2)"		"unprognostic (1.02e-1)"	"unprognostic (1.54e-2)"	"unprognostic (9.51e-2)"	"unprognostic (4.62e-2)"	"unprognostic (1.15e-2)"	"unprognostic (1.97e-3)"	"unprognostic (1.35e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.57e-1)"	"unprognostic (8.89e-2)"	"unprognostic (2.78e-1)"	"unprognostic (1.84e-1)"	"unprognostic (4.55e-2)"	"unprognostic (1.47e-1)"
